# CSV_SCHEMA_V=1, FW=0.9-field-hardening, BOARD_ID=0x5CD85EDB5110, ROLE=RESPONDER, BOOT_MS=0, FREQ=2400.0, BW=406.25, SF=8, CR=7, TXPOWER=12
seq,timestamp_ms,event,rssi_dbm,state,radio_status_code
481,991386,RANGING_REQ,-150,LISTENING,0
482,992072,RANGING_REQ,-150,LISTENING,0
483,992758,RANGING_REQ,-150,LISTENING,0
484,993449,RANGING_REQ,-150,LISTENING,0
485,994135,RANGING_REQ,-150,LISTENING,0
486,994821,RANGING_REQ,-150,LISTENING,0
487,995507,RANGING_REQ,-150,LISTENING,0
488,996193,RANGING_REQ,-150,LISTENING,0
489,996879,RANGING_REQ,-150,LISTENING,0
490,997565,RANGING_REQ,-150,LISTENING,0
491,998251,RANGING_REQ,-150,LISTENING,0
492,998937,RANGING_REQ,-150,LISTENING,0
493,999623,RANGING_REQ,-150,LISTENING,0
494,1000314,RANGING_REQ,-150,LISTENING,0
495,1001000,RANGING_REQ,-150,LISTENING,0
496,1001686,RANGING_REQ,-150,LISTENING,0
497,1002372,RANGING_REQ,-150,LISTENING,0
498,1003057,RANGING_REQ,-150,LISTENING,0
499,1003743,RANGING_REQ,-150,LISTENING,0
500,1004429,RANGING_REQ,-150,LISTENING,0
501,1005115,RANGING_REQ,-150,LISTENING,0
502,1005801,RANGING_REQ,-150,LISTENING,0
503,1054881,RANGING_REQ,-150,LISTENING,0
504,1055567,RANGING_REQ,-150,LISTENING,0
505,1056253,RANGING_REQ,-150,LISTENING,0
506,1056939,RANGING_REQ,-150,LISTENING,0
507,1057625,RANGING_REQ,-150,LISTENING,0
508,1058311,RANGING_REQ,-150,LISTENING,0
509,1058997,RANGING_REQ,-150,LISTENING,0
510,1059683,RANGING_REQ,-150,LISTENING,0
511,1060369,RANGING_REQ,-150,LISTENING,0
512,1061055,RANGING_REQ,-150,LISTENING,0
513,1061745,RANGING_REQ,-150,LISTENING,0
514,1062431,RANGING_REQ,-150,LISTENING,0
515,1063118,RANGING_REQ,-150,LISTENING,0
516,1063804,RANGING_REQ,-150,LISTENING,0
517,1064490,RANGING_REQ,-150,LISTENING,0
518,1065176,RANGING_REQ,-150,LISTENING,0
519,1065862,RANGING_REQ,-150,LISTENING,0
520,1066548,RANGING_REQ,-150,LISTENING,0
521,1067234,RANGING_REQ,-150,LISTENING,0
522,1067920,RANGING_REQ,-150,LISTENING,0
523,1068611,RANGING_REQ,-150,LISTENING,0
524,1069298,RANGING_REQ,-150,LISTENING,0
525,1069984,RANGING_REQ,-150,LISTENING,0
526,1070670,RANGING_REQ,-150,LISTENING,0
527,1071356,RANGING_REQ,-150,LISTENING,0
528,1072042,RANGING_REQ,-150,LISTENING,0
529,1072728,RANGING_REQ,-150,LISTENING,0
530,1073414,RANGING_REQ,-150,LISTENING,0
531,1074100,RANGING_REQ,-150,LISTENING,0
